annotate,post
"[0, 0, 0, 0]",nnag sakit akong dughan sa mga panghitabo unta makitan na ang mga natabunan
"[0, 1, 1, 1]","masakit na ang dibdib sa ubo, ginanon pa"
"[0, 0, 0, 0]",dinamani gaka wala ako hilanat oy samokaa
"[1, 1, 1, 1]",nganong ka wrong timing ning hilanat! bisag naa koy lakwon!!!!
"[0, 0, 0, 0]",gikapoy nako
"[0, 0, 0, 0]",sakit sa dughan nga makita nako ang asawa saakong cousin ganiha nga gahilaka
"[0, 0, 0, 0]",kanang gikapoy kas tanan pero wala kay choice kundi mubangon og magpadayon! cheer up!
"[1, 1, 1, 1]",yati mani uy gikapoy nako sig sukaha mag biyahe. naa pakoy 2 hrs biyaheon unya quiz nga mala exam pa ugma. aw gudlak sa aken
"[0, 0, 0, 0]",matulog nga sakit ang dughan
"[0, 0, 0, 0]","bwahahahahaha boom nagluya si ante oy hahahahahahaha yama nganong after couple of months, nikalit mag sulod sakong huna nga naa jud ga push nako mu visit ato oy?!?!? pls, karon pa ko ka visit sa wall niya utro ever since last year kay nag promise jud kos akong kaugalingon nga di"
"[0, 0, 0, 0]","lord, pagod na po ako."
"[1, 1, 1, 1]","hilanat pay imo, imo pay hilanat"
"[0, 0, 0, 0]",gikapoy tawn kog katawa sa talent show sa nana tour niya taud taud naluya pud kog hilak pagkanta ni seungkwan mura jud tag buang ani
"[0, 0, 0, 0]",natug nga sakit ang dughan samot diay igmata
"[0, 0, 0, 1]",walay gana mo kaon
"[1, 1, 1, 1]",yawaaa ni mata nga gi hilantan huhu
"[1, 0, 0, 0]",hilanat jud padulngan ani ba
"[0, 0, 0, 0]",pagod na pagod na ako
"[1, 1, 1, 1]",sige naman lang kog hilanat ani oy
"[1, 1, 1, 0]",dugang2 sad ni akong hilanat uyyyy naa paning ubo ug sipon hahays
"[0, 0, 0, 0]",pagod na pagod
"[1, 1, 1, 1]",may sinat ako huhu
"[0, 0, 0, 0]",bay di nako musubaybay ug national finals sunod bi kay dungag2 rani sakit sa dughan. tulo na ka national final ang nakapapiskat nako.
"[0, 0, 0, 0]",gikapoy napud kog motor2 oy ibaligya na ninyo na tanan hahahaha
"[1, 1, 1, 1]",grabehag transition sako gipamati ron oi. hyper sakit ulo hilanat
"[1, 1, 1, 1]","clav souvenir sipon, ubo ug hilanat"
"[1, 1, 0, 0]",mao najud ning time madutlan nakog hilanat
"[0, 0, 0, 0]",sakit kaayu sa dughan paminawn ang mga bata nga gahulat sa ilang mga ginikanan
"[1, 0, 0, 0]",gi hilantan natag sugod ani atay na
"[0, 0, 0, 0]",wait lang naluya ko
"[0, 0, 0, 0]",pagod na pagod na ako
"[0, 0, 0, 0]","mga bahig sa lang daotang panghitabo sa pagkaanaa bahig 0 bungtoanong lantag regional scale, pagpagubot ugkun pagkabungkag sa katilingban 1 nga bahig bitolagnong lantag planetary scale, pagpayagaw sa katilingban ika 2ng bahig bitolagnong lantag, pagkabungkag sa mga buhilaman ika 3ng bahig bitolagnong lantag, pagkahanaw sa usa ka kaliwat ang kinalabwang kaliwat lamang 1 nga pinig tinuyo ika 2ng pinig pagbuot sa kinaiyahan ika 4 nga bahig bitolagnong lantag, pagkahanaw sa ubayubayng kaliwat ika 5 nga bahig bitolagnong lantag, pagkahanaw sa tanang mayukmokong mollecular kaliwat. ika 6 nga bahig bitolagnong lantag, hingpit nga pagkahanaw 1 nga ekis nga bahig bitolagnong lantag, sumpoknong nga pagkahanaw physical annihialation ika 2ng ekis nga bahig bitoonong lantag stellar scale, sumpoknong pagkahanaw ika 3ng ekis nga bahig kapunawanong lantag galactic scale, sumpoknong pagkahanaw ika 4 nga ekis nga bahig malukpanong lantag maagin ang tibuok lukopngatanan universal scale, sumpoknong pagkahanaw ika 5 nga ekis nga bahig lantag sa lukpanong palungpong multiversal scale maangin ang daghang lukopngatanan, sumpoknong pagkahanaw z nga bahig lantag sa tanang lukpanong pulongpong omniversal scale maangin ang tibuok lukopngatanan, sumpoknong kun mitnaong pagkahanaw metaphysical annihialation"
"[1, 0, 0, 0]","mayta maayo nako, ga sige rjud balik2 akoa hilanat and tag 39 jud alwaysss"
"[0, 0, 0, 0]",kafunny jud sa research namo sauna oi kay nag extract ug rivina humilis barehands nya nya after extraction kay didto pami kabalo nga makahilo diay nya nagtungok ang tanan kay naluya kay basi mahilo ming tanan
"[0, 0, 0, 0]",what if. akong uyab na diay ang gikapoy nako hehe hahahahaha looy langgggg hihihi mag rest lang sab sya
"[1, 1, 0, 0]",asa raman nang hilanat kung makaanswer kog tarong ugma
"[0, 0, 0, 0]",nanghihina nako sa prac pra mamaya
"[0, 0, 0, 0]",pag amping na lang mo guys kay gikapoy nakog tuon
"[0, 0, 0, 0]","sakita nimos dughan oy, sakit kaayu ka higugmaon. i really dont know if you love me pa, early man ka mo greet nako sauna, what happened to you man? and never ga matter nako ang gift maskin lambing nalang nimo."
"[0, 0, 0, 0]",gikapoy nakog tuon
"[0, 0, 0, 0]",huhu masakiton ra kaayo ko nice unta kaayo among laag but nagluya ang ferson ltlt
"[1, 1, 0, 0]",wait lang naluya ko
"[1, 1, 1, 1]",may lagnat na nga ginanon pa
"[0, 0, 0, 0]","pagod na ko, pota yan"
"[0, 0, 0, 0]","sauna sa naa pakay kusog di jud mo kahinumdom moari samoa, nya karong naniguwang ka ari ka moduol samoa? boang man guro mo. gikapoy nakog timpi sa inyong ka hugawan ug pabadlong. punan pag batang way buot murag giatay di kasabot kapila storyahan. nganong naa mo diris amoa? pisti"
"[1, 1, 1, 1]",gikapoy na kog pangitag work pa abroad. pwede kamo nasad mangita nako? haha!
"[0, 0, 0, 0]","hello, its me again! kahuot na ka halang sa dughan oy. sakit kaayooo huhu who would have thought na ang lalaki na imong comfo maoy ga cause ani"
"[0, 0, 0, 0]",pagod na.
"[1, 1, 0, 0]",same symptoms among pag hilanat ni kuya. kulbaan basin dengue
"[1, 1, 1, 0]",nga a subong pa ko gi lagnat? huhu okininam
"[0, 0, 0, 0]","nganong ni uso naman sab ning parvo run uy, bahalag mag kiat ug mag sinamok ug ayo among mga iro dri dili lang mag ka parvo mag sakit akong dughan makita ni sila mag luya.. bag o pa gani naka recover ang usa, kining isa nasab nag luya jusko"
"[0, 0, 0, 0]",kamo ra sa skwela ugma girls. kay gikapoy pa ko sa byahe.
"[0, 0, 0, 0]",naluya sa ka init ganina
"[1, 1, 1, 1]","dili lang kamo ang naay problema plzz consider me as a human being, consider me as a student pud, consider me as a kid pud palihog, sakit na kaayo akong dughan sig huna huna sainyong problems, inyong problems akoy mag atiman"
"[1, 1, 1, 1]",good morning except sa ubo ko
"[0, 0, 0, 0]","maayong buntag! gidapit namo kamo sa pagapil aning among pagtuon sa usa ka koleksyon sa mga pagrekord sa lainlaing sinultian, sama nga cebuano. kining mga rekording makatabang sa among pagsabot kung giunsa pagbago sa mga sinultian sa paglabay sa mga niaging panahon, ug kung unsa ang kalahian sa mga sinultian sa usag usa bahin sa mga gagmay nga detalye sa paglitok. gidapit namo ang mga tawo nga 20s30s ug 50s60s aron muapil. kung naa mo sa kanang edad, o naa kay kakilala nga ganahan magrekord ug tabang, palihug iemail ako sa 201110523post.upm.edu.phmailto201110523post.upm.edu.ph o imessage ako diri. kung nakahukom ka nga muapil ani nga pagtuon, hangyuon ka mga mutubag sa pipila ka mga pangutana bahin sa imong kaugalingon, irekord ang imong boses nga nagbasa sa among tudling sa cebuano, ug pagistorya og bisan una sa parehas nga sinultian sulod sa pipila ka mga minuto. ang tudling muabot og mga lima hantod unom kaminuto kung basahon og kusog. para sa pagsulti og bisan unsa, hangyuon ka nga moistorya sa dili moubos sa lima ka minuto ug dili mulabaw sa napulo ka minuto. walay personal nga kasayuran bahin kanimo nga mahimong bahin sa kini nga proyekto."
"[0, 0, 0, 0]",gikapoy tawn kog katawa sa talent show sa nana tour niya taud taud naluya pud kog hilak pagkanta ni seungkwan mura jud tag buang ani
"[0, 0, 0, 0]",nagluya
"[0, 0, 0, 0]",ahhhhh mka inlove ako shells finally naa nakoy saang ug liboo na addition sako collections. huhu complete najud. done najud ako sampling kay gikapoy na ang disney princess manginhas. dri nsab mi mag patay sa editing ug id
"[1, 0, 0, 0]",gisagolan man diay nilag robust akong baso pag inom yawa maningala man sad ta nganong init kaayo atong lawas wa man unta gi hilantan
"[1, 1, 1, 1]",nahihirapan nako sa ubo ko
"[1, 1, 1, 1]",inabot nang lagnat basag
"[0, 0, 0, 0]",walay gana mo kaon wa pay tulog hyss
"[0, 0, 0, 0]","hello, its me again! kahuot na ka halang sa dughan oy. sakit kaayooo huhu who would have thought na ang lalaki na imong comfo maoy ga cause ani"
"[1, 1, 1, 0]","hatdi kog makaon, ako ra usa, lipong, kahilantanun, ubo sip on, bug at ang lawas.. kamatay"
"[1, 1, 1, 1]",namamayat daw ako haha
"[1, 1, 1, 0]",kapoya aning gi ubo ug gi sipon ta oy patya na lang ko
"[1, 1, 1, 0]","hays gikapoy paman japon ko ron, di sa guro ko mang upload pictures"
"[1, 1, 1, 1]","kung kaylan lunes na, adto pa na hilantan ug gi sip on, ano batong taong 2"
"[0, 0, 0, 0]",gikapoy nako pero gina pangita japun tka
"[1, 1, 0, 0]",huhu masakiton ra kaayo ko nice unta kaayo among laag but nagluya ang ferson ltlt
"[0, 0, 0, 0]",girl na pagod sa capitalism
"[1, 1, 0, 0]",bata pata sauna idagan ra ang hilanat karon nga tigulang na di na kaya lubog na diritso
"[0, 0, 0, 0]",maskin ako gikapoy na
"[0, 0, 0, 1]","masakit na ang dibdib sa ubo, ginanon pa"
"[1, 0, 0, 0]",kuyawa pod aning hilanat ni marc uy abot man pila ka adlaw d naman ata ni normal
"[0, 0, 0, 0]",pagod na
"[1, 1, 1, 1]",masakit ang likod tapos may ubo pa.
"[0, 0, 0, 0]","ani diay ang ma feel kung sobra nimo ka palangga ang isa ka tao, sakit kaayo sa pa na paspas ra kaayo ang tanan naa pa ang oras, why ani d nako kaya pota karon rako ka try og hilak na pinaka lala, tanan kasakit karon ragyud nabuhos, please sakit gyud sya sa dughan."
"[0, 0, 0, 0]",dili sako magfacebook bai!! sakit jud kaayo sa dughan ang trahedya na gisinati sa masara
"[0, 0, 0, 0]",ko sa pag paningkamot dle pareha nmu nag niwang sa cgeg panghilabot
"[0, 0, 0, 0]",gikapoy ko pero naa paman sa under water akong homies
"[1, 1, 0, 0]",sukia natog hilanat oy
"[0, 1, 1, 1]","almost 7am nami nauli ganiha gikan seawall nag inum and now gi hilantan ko wahahaha, tagam dza"
"[1, 1, 1, 0]",palabi man sa ice cream mura mag way ubo.
"[1, 1, 1, 0]",dugang2 sad ni akong hilanat uyyyy naa paning ubo ug sipon hahays
"[0, 0, 0, 0]","tama na, gikapoy nako anang storyaha"
"[0, 0, 0, 0]",gikapoy na kog pangitag work pa abroad. pwede kamo nasad mangita nako? haha!
"[0, 0, 0, 0]","naluya lagi ko ay, wala na guro koy kwaa ba"
"[0, 0, 0, 0]",kay gikapoy na ko iplease mo tbh
"[0, 0, 0, 0]",sino itech wa nidula pero gikapoy grabe ka naman tih
"[0, 0, 0, 0]",pagod na pagod na sha
"[0, 0, 0, 0]",ana sila sta your day early daw para mas lami ang imong routine nganong ako alas otso pa lang gikapoy na? hahahahahahahah
"[1, 0, 0, 0]",skwela napod nga gi hilantan sheesh
"[0, 0, 0, 0]",du sakit lgi ni siya gamay sa dughan poide nd lg anay kay mahibi n gd bla ko early oa hours kay nababatyagan ang early n 2log!
"[1, 1, 0, 0]","bwahahahahaha boom nagluya si ante oy hahahahahahaha yama nganong after couple of months, nikalit mag sulod sakong huna nga naa jud ga push nako mu visit ato oy?!?!? pls, karon pa ko ka visit sa wall niya utro ever since last year kay nag promise jud kos akong kaugalingon nga di"
"[1, 0, 0, 0]","wew, abi kog hilanat ra, admit man sad tag pinakalit ani"
"[0, 0, 0, 0]",kaboring oy gikapoy nakog study. way oten dinha?
"[0, 0, 0, 0]",hayssss gikapoy na lagi kog organize2 ug events uuyy. pwd lahi nasad nga ferzooon??? i wanna enjoy an audience life
"[1, 1, 0, 0]",di naman nuon mo biya ning hilanat sa atoa
"[0, 0, 0, 0]",kafunny jud sa research namo sauna oi kay nag extract ug rivina humilis barehands nya nya after extraction kay didto pami kabalo nga makahilo diay nya nagtungok ang tanan kay naluya kay basi mahilo ming tanan
"[0, 0, 0, 0]",monday pa gani gikapoy nako. karats tutunlan ni mag discuss oy.
"[0, 0, 0, 0]",pagod na pagod na ako
"[1, 0, 0, 0]",same symptoms among pag hilanat ni kuya. kulbaan basin dengue
"[1, 1, 1, 1]",hilanat najud ni
"[0, 0, 0, 0]","in another life ha? tangina, wag na pagod na ako"
"[1, 1, 0, 0]","clav souvenir sipon, ubo ug hilanat"
"[0, 0, 0, 0]",mic test pagod na ako
"[0, 0, 0, 0]","sakita nimos dughan oy, sakit kaayu ka higugmaon. i really dont know if you love me pa, early man ka mo greet nako sauna, what happened to you man? and never ga matter nako ang gift maskin lambing nalang nimo."
"[1, 1, 1, 1]","gusto ko mag celebrate sa kalipay kay engaged na akoa friend, pero sakit kaayo sa dughan makita ang mga post about landslide sa masara"
"[0, 0, 0, 0]",boboy mailhan jud nako nga nagluya ka tungod ni taylor swift. hahhahaahahahahahah yawa alangan nag check out nakog jbl nga speaker kay tuo nakog mu release na syag reptv! ang ending bag ong album!!!! ambot wa ko nalipay!!!
"[0, 0, 0, 0]",nagkatawa ko kay after nako mahuman tong pouch kay naluya ko dayon natug dayon pag human hahahahah crochet pa
"[0, 0, 0, 0]",gikapoy ko bai
"[0, 0, 0, 0]",6hrs palang ko nag atubang ug laptop naluya naman sok haahhahaahhaahha
"[0, 0, 0, 0]",gikapoy nakog inantos kabalo ko nga walay griw kung walay pag antos pero grabi na
"[0, 0, 0, 0]",kini c jen barangan ba wa ni sya gikapoy? aw hahaha ma bash ta
"[0, 0, 0, 0]",du sakit lgi ni siya gamay sa dughan poide nd lg anay kay mahibi n gd bla ko early oa hours kay nababatyagan ang early n 2log!
"[1, 1, 1, 0]",nganu gi ubo mn ko uy
"[0, 0, 0, 0]",pag human feb fair dle nako mo gawas sa balay except mo skwela. gikapoy nako!!!
"[0, 0, 0, 0]",pagod na ako
"[0, 0, 0, 0]",ambot oy ywa gikapoy nako sa 2d ug 3d bsht
"[0, 0, 0, 0]",i badly need a relax day huhu nahihirapan ako huminga raynow
"[0, 0, 0, 0]",naluya gyud kog kalit gahapon ay wtf wa ko kasabot naunsa ko ato. nangluya ka bugat lawas unya gihangak. atay. gani niuli nalang ko diretso
"[1, 1, 1, 1]",gikapoy sa road trip ganina haha
"[0, 0, 0, 0]","hays gikapoy paman japon ko ron, di sa guro ko mang upload pictures"
"[1, 1, 1, 1]",gi na hilantan man pud q pero nganong dli man sila ing ato sa akoa?
"[1, 1, 0, 0]",way maayo sa buntag waa hilanat may mo sugat
"[0, 0, 0, 0]",gikapoy ko pero woh it kay gabalik na akong sets
"[0, 0, 0, 0]",nanghihina na kami beh i maze u so much
"[1, 1, 1, 1]",sakit sa dughan makita ang puppy mamatay
"[0, 0, 0, 0]",gusto ko mo kaon pero tabang dili ko ganahan manok napd
"[1, 1, 1, 1]",gikapoy naman ko oy
"[1, 1, 1, 1]","mayta maayo nako, ga sige rjud balik2 akoa hilanat and tag 39 jud alwaysss"
"[1, 1, 0, 0]",gikapoy naman kos tanan.
"[0, 0, 0, 0]",monday palang pagod na
"[0, 0, 0, 0]",nnag sakit akong dughan sa mga panghitabo unta makitan na ang mga natabunan
"[1, 0, 0, 0]",maulian akong hilanat if ma secure nako ang wonwoo semicolon
"[0, 1, 1, 1]",sa imong hug gihapon mutahan og mawala ang sakit sa dughan pero unsaon ko man?
"[1, 1, 1, 0]",shet sa weather ba kha ni nohh huhu nadayun na jud sipon akoa padung nsd ni ubo
"[0, 0, 0, 0]",lord pagod na ko
"[1, 1, 0, 0]",ywa oie gus2 bya q moduty ugma ay balag kapoiii gt plsss hilanat dun k sa far away ywa
"[1, 1, 1, 1]",gikapoy na gud kog balance sa akong renal diet ba
"[1, 1, 1, 0]",ge ubo kog taman tungod aning mikmik
"[1, 1, 1, 1]",pagod na pagod na ako
"[0, 0, 0, 0]",naluya ang fersonnn
"[1, 0, 0, 0]",kapoya salon pag hilanat
"[0, 0, 0, 1]",namali ko sa chaing and bc of that naluya ko sm kay na trauma kang maam doja cat perooo buotan kaayo si sir ma excited nalang ta magduty
"[1, 1, 1, 1]",gikapoy nakog meet jud niya
"[1, 1, 1, 0]",samoka sab aning ubo sipon pud ui
"[1, 0, 0, 0]",hilanat gyud diay siya
"[1, 1, 1, 0]",gina lagnat subong ang thailand. sa pagka init init!!!!! tabang
"[1, 1, 1, 1]",okay na akoang hilanat pero akoang labad sa ulo kay nagpabilin
"[0, 0, 0, 0]",gikapoy uroy ug panglimpyo haha sayo kaayo nakatulog
"[1, 0, 1, 1]",gikapoy uroy ug panglimpyo haha sayo kaayo nakatulog
"[0, 0, 0, 0]",naluya ang princess rhea
"[0, 0, 0, 0]",gikapoy gyud ko mentally
"[1, 1, 1, 0]","lipay kaayo si ramon na naayo nako sakong lagnat kay pila pud siya ka days nag antos sakong kaluya, nag uban lagi mi pero murag wala kay akong utok ug lawas nabilin sakong kwao and grabe ka oa hahahahahahahahahahahaha"
"[0, 0, 0, 1]",di gani ni mawala akong ubo ako nalay mawala ani sigeha
"[0, 0, 0, 0]","dili lang kamo ang naay problema plzz consider me as a human being, consider me as a student pud, consider me as a kid pud palihog, sakit na kaayo akong dughan sig huna huna sainyong problems, inyong problems akoy mag atiman"
"[1, 1, 1, 1]",wa nako ganahi aning sig balik balik nga hilanat
"[0, 0, 0, 0]",good morning pagod na agad ako
"[0, 0, 0, 0]",ambot oy. gikapoy pako mamaligya ug uyap balik huhuh hahahahahaha
"[1, 1, 1, 1]",ariana grande mode na pd ta sa jacket kay gi hilantan.
"[0, 0, 0, 0]","bwahahahahaha boom nagluya si ante oy hahahahahahaha yama nganong after couple of months, nikalit mag sulod sakong huna nga naa jud ga push nako mu visit ato oy?!?!? pls, karon pa ko ka visit sa wall niya utro ever since last year kay nag promise jud kos akong kaugalingon nga di"
"[1, 1, 1, 1]",nnag sakit akong dughan sa mga panghitabo unta makitan na ang mga natabunan
"[1, 1, 1, 1]",tama na lord pls. sakit na kaaayo. unsa paman ang buhaton nako lord. sobra na kaayo ang sakit sakong dughan lord
"[1, 1, 1, 1]",gikapoy napud kog motor2 oy ibaligya na ninyo na tanan hahahaha
"[0, 0, 0, 0]",kamo ra sa skwela ugma girls. kay gikapoy pa ko sa byahe.
"[0, 0, 0, 1]",pag human feb fair dle nako mo gawas sa balay except mo skwela. gikapoy nako!!!
"[1, 1, 0, 0]",good morning wala na ko lagnat
"[1, 1, 1, 1]","grabe akong gaba, gaawas kay wala pa nahuman diay. niapas pa akong hilanat"
"[0, 0, 0, 0]",agahon pa sakit ang dughan ah
"[1, 1, 1, 1]",same symptoms among pag hilanat ni kuya. kulbaan basin dengue
"[0, 0, 0, 0]",pagod nako mabuhay jusko
"[0, 0, 0, 0]",diha ka naluya
"[1, 1, 0, 0]",skwela napod nga gi hilantan sheesh
"[0, 1, 1, 1]",naluya pagka realize
"[1, 1, 1, 1]",masakit ang likod tapos may ubo pa.
"[0, 0, 0, 0]",alam niyo hayop i js wanna rest!!!! pagod n pagod na aq feb palang
"[0, 0, 0, 0]",gikapoy na gud kog balance sa akong renal diet ba
"[1, 1, 0, 0]","lagnat, ubo, sipon, sig suka, unsa pa sunod?"
"[1, 0, 0, 0]","ako, paos. ubo and sipon. combo na. pero woh it.."
"[0, 0, 0, 0]",nanghihina ako jeon wonwoo!!!
"[0, 0, 0, 0]",gi ibtan ngipon hilanat ubo mens
"[1, 1, 1, 0]",palabi man sa ice cream mura mag way ubo.
"[1, 1, 1, 1]",gi hilantan natag sugod ani atay na
"[1, 1, 1, 1]",shet gikapoy nako study kadaghan sakit
"[1, 0, 0, 0]","unta sunod lahi na sad tripan sa kinabuhi, gikapoy nako."
"[0, 0, 0, 0]",ang sakit nga na feel nako para sa akong daddy di ma kaya murag gikumot akong dughan
"[0, 0, 0, 0]",ahhhhh mka inlove ako shells finally naa nakoy saang ug liboo na addition sako collections. huhu complete najud. done najud ako sampling kay gikapoy na ang disney princess manginhas. dri nsab mi mag patay sa editing ug id
"[0, 0, 0, 0]",ywa gikapoy nako aning achool works
"[0, 0, 0, 0]",nagluya kape og matcha ra man diay sulod sakong tiyan karong adlawa
"[0, 0, 0, 0]","maayo jud ang ginoo no. since ga crisis gihapon ko bisan naa nako sa akong field wc is music, as a conductor nga gikapoy na ug tudlog choir, gitagaan ko niyag lahi sidelinework nga ma enjoy nako. wa pud ko nangayo niya. salamat sa skills, lord. imo ni tanan!"
"[1, 1, 1, 1]",ubo lang to
"[1, 0, 0, 0]","hilanat pay imo, imo pay hilanat"
"[0, 0, 0, 0]","naluya nako sa ca ambot uyyy kahilakon ko, lisuda pasaron uy"
"[1, 1, 1, 1]",skwela raba ugma basin makatakod tas atong hilanat haruuuy
"[0, 0, 0, 1]",pag amping na lang mo guys kay gikapoy nakog tuon
"[1, 1, 1, 0]",kapoya aning gi ubo ug gi sipon ta oy patya na lang ko
"[1, 1, 0, 0]",hilanat gyud diay siya
"[0, 0, 0, 0]",bisan dli ta ganahan mo kaon kasab an nuon tag dli mo kaon dili lage ko mo kaon
"[0, 0, 0, 0]",stop ang pag scroll sa fb early morning kay sakit sa dughan huhu
"[1, 1, 1, 1]",ayaw ko na tlga nagka lagnat pa amputa
"[1, 1, 1, 1]",maulian na ba ko ani akong hilanat gyu
"[1, 1, 1, 1]",langyang ubo toh badtrip
"[0, 0, 0, 0]",pagod na ko. tuesday pa lang.
"[1, 0, 0, 0]",hilanat lang sa ang disney princess
"[0, 0, 0, 0]",kay gikapoy na ko iplease mo tbh
"[1, 1, 1, 1]",karon pako byahe tapos gi hilantan pa jud atay nani
"[1, 0, 0, 0]",grabe akong hilanat. pahilot pa more. ning gawas ang sakit2
"[1, 0, 0, 0]",hilanat jud padulngan ani ba
"[1, 0, 1, 0]",kuyawa pod aning hilanat ni marc uy abot man pila ka adlaw d naman ata ni normal
"[1, 1, 0, 0]",hilanat najud ni
"[0, 0, 0, 0]",sakit kaayo sa dughan tan awn ang mga na recover nga natabunan sa landslide
"[0, 0, 0, 0]",gikapoy napud kog motor2 oy ibaligya na ninyo na tanan hahahaha
"[1, 1, 1, 0]",nganu gi ubo mn ko uy
"[0, 0, 0, 0]",naluya ko haha
"[0, 1, 1, 1]",dagat ra jud makapauli sa lawas nga nagluya. bisag makita lang ang blue na dagat ug tingog sa hampak sa balod. salamat sa sunshine lord.
"[0, 0, 0, 0]","1. ang kugtong nakadungog ka na ba bahin sa urban legend sa higante nga goldfish sa cagayan de oro? aw, ang sugbo dunay kaugalingong katugbang, ang kugtong. ang kugtong usa ka ilado nga leyenda sa dakbayan sa lapulapu. sumala sa urban legend, ang kugtong usa ka higanteng isda nga grupo sa mga tawo nga nagpuyo ubos sa usa ka kompanya sa paggaling. ang uban nagingon nga ang isda makatulon sa usa ka tawo nga tibuok pinaagi sa iyang mga ngipon nga nagisi sa unod ug mga labaha nga himbis. nagtuo sila nga ang mga isda gimutate gikan sa mga biological waste nga produkto gikan sa milling company. may mga tawo nga nagtuo nga swerte ang isda, hinungdan nga giatiman pagayo sa mga tagiya sa milling company ang kugtong aron magmalampuson ang ilang negosyo. 2. minda mora ang mga cebuano ganahan og maayong horror story. ang mosunod nga urban legend kay gikan sa university of san carlos downtown campus. matod nila usa ka estudyante nga gihinganlan og minda mora ang naghasol gihapon sa unibersidad hangtod karon tungod sa iyang trahedya nga gidangatan. ang leyenda nagingon nga si minda mora, usa ka promising nga estudyante nga mahilig magperform, gilugos ug gipatay sa daghang mga security personnel. ang lawas sa kabus nga tinunan giingong gilubong sa usc cultural center. nagtinguha sa pagpanimalos alang sa iyang makalilisang nga kamatayon, nagpadayon gihapon siya sa mga hawanan sa unibersidad. 3. lily ang mga sikat nga filipino urban legend hapit kanunay naglakip og aswang. ang sugbo adunay aswang nga numero sa ngalan nga lily. sumala sa urban legend, si lily usa ka mangkukulam nga milamoy sa mga tawo sa tungang gabii. siya giingon nga labing gamhanan kung modanag ang bulan. i think ganahan mo matulog karung gabii na naay suga"
"[1, 0, 0, 0]",nabungol najud kos ka mingaw sa among lugar. maka hilanat ng kamingaw gais
"[0, 0, 0, 0]",naluya nako sa studyhan juskooooo
"[1, 1, 1, 1]",gikapoy nako.
"[1, 0, 0, 0]",pawala na hilanat daghan pko buhatonon
"[1, 1, 1, 1]",aha ragud ang hilanat ug ikay nanghanggat
"[1, 1, 0, 0]","nakisabay man ni ang sip on, ubo kag lagnat duro ulobrahon pay"
"[0, 0, 0, 0]",hoay pls lang babae na cousin next pls gikapoy nako sig babysit kay faris and haitham
"[0, 0, 0, 0]",gikapoy nakog tuon aning 1987 constitution
"[1, 1, 1, 0]",nga a subong pa ko gi lagnat? huhu okininam
"[0, 0, 0, 0]",do gikapoy nakog hilak di gihapon ko ka tulog samoka
"[1, 0, 0, 0]",haha asthma hilanat pero skwela gihapon
"[1, 1, 1, 0]",nitukar lage akong ubo buset
"[0, 0, 0, 1]",agahon pa sakit ang dughan ah
"[0, 0, 0, 0]",gikapoy nakog study
"[0, 0, 0, 0]",gikapoy nako sigeg duty! walay bebe time sa?! hahahahahahha
"[1, 1, 1, 0]",sakita jd sa buot basta si sevi mag sakit oyy mao najud ni grabe nyang ubo ba
"[1, 1, 0, 0]",di ko pahibaw sako parents ge hilanat ko kay ignon rakog tungod sakong ka laagan nga tinuod man pud
"[1, 1, 1, 1]",way maayo sa buntag waa hilanat may mo sugat
"[0, 0, 0, 0]",wait lang naluya ko
"[0, 0, 0, 0]",gikapoy nako sigeg duty! walay bebe time sa?! hahahahahahha
"[1, 1, 1, 1]","makahilak sad ta magtan aw sa mga nahitabong trahedya karon uy, sakit kay sa dughan tan awon ang mga videos"
"[0, 0, 0, 0]",pagod na pagod na pagod na pagod na ako magcommute
"[1, 1, 1, 1]",ganahan kaayo ko mag duwa ba pero akoa hilanat maka buang
"[0, 0, 0, 0]",yowo naluya kaykog dula tt tulgon ko pero di jud ko tig tulog taga hapon ay
"[0, 0, 0, 0]","naluya nako sa ca ambot uyyy kahilakon ko, lisuda pasaron uy"
"[0, 0, 0, 0]",grabe. pati ako naluya og apil
"[0, 0, 0, 0]",pagod na q
"[0, 0, 0, 0]",grabe inoma isa ka adlaw man nagluya
"[1, 1, 1, 1]",lagnat pa nga
"[0, 0, 0, 0]",mas gikapoy na nuon ko
"[1, 1, 1, 1]",3 days nakong may lagnat
"[0, 0, 0, 0]","nganong ni uso naman sab ning parvo run uy, bahalag mag kiat ug mag sinamok ug ayo among mga iro dri dili lang mag ka parvo mag sakit akong dughan makita ni sila mag luya.. bag o pa gani naka recover ang usa, kining isa nasab nag luya jusko"
"[0, 0, 0, 0]","unta sunod lahi na sad tripan sa kinabuhi, gikapoy nako."
"[0, 0, 0, 0]",tama na lord pls. sakit na kaaayo. unsa paman ang buhaton nako lord. sobra na kaayo ang sakit sakong dughan lord
"[0, 0, 0, 0]",naluya ang princess rhea
"[0, 0, 0, 1]",monday pa gani gikapoy nako. karats tutunlan ni mag discuss oy.
"[0, 0, 0, 0]",gikapoy najud ko
"[0, 0, 0, 0]",i am okay. pagod lang sa adult life p.s. hayp na yan san ka nagmana?
"[0, 0, 0, 0]",sakit kaayo sa dughan tan awn ang mga na recover nga natabunan sa landslide
"[1, 1, 0, 1]",kapoya salon pag hilanat
"[1, 1, 0, 0]","hilanat pay imo, imo pay hilanat"
"[0, 0, 0, 0]","makahilak sad ta magtan aw sa mga nahitabong trahedya karon uy, sakit kay sa dughan tan awon ang mga videos"
